Time,U_A1,U_B1,I_A,U_2,f,
7.8,2.07,0.705,0.705,20.7,NAN,
7.9,2.1,0.475,0.475,21,NAN,
8,2.13,0.32,0.32,21.3,NAN,
8.1,2.16,0.255,0.255,21.6,NAN,
8.2,2.19,0.25,0.25,21.9,NAN,
8.3,2.22,0.31,0.31,22.2,NAN,
8.4,2.235,0.38,0.38,22.35,NAN,
8.5,2.25,0.625,0.625,22.5,NAN,
8.6,2.28,0.86,0.86,22.8,NAN,
8.7,2.31,1,1,23.1,NAN,
8.8,2.34,1.325,1.325,23.4,NAN,
8.9,2.37,1.59,1.59,23.7,NAN,
9,2.4,1.99,1.99,24,NAN,
9.1,2.415,2.355,2.355,24.15,NAN,
9.2,2.445,2.585,2.585,24.45,NAN,
9.3,2.475,2.6,2.6,24.75,NAN,
9.4,2.505,2.36,2.36,25.05,NAN,
9.5,2.52,1.98,1.98,25.2,NAN,
9.6,2.535,1.56,1.56,25.35,NAN,
9.7,2.565,1.22,1.22,25.65,NAN,
9.8,2.595,0.89,0.89,25.95,NAN,
9.9,2.625,0.545,0.545,26.25,NAN,
10,2.64,0.4,0.4,26.4,NAN,
10.1,2.67,0.385,0.385,26.7,NAN,
10.2,2.7,0.39,0.39,27,NAN,
10.3,2.73,0.525,0.525,27.3,NAN,
10.4,2.76,0.735,0.735,27.6,NAN,
10.5,2.79,0.96,0.96,27.9,NAN,
10.6,2.805,1.23,1.23,28.05,NAN,
10.7,2.835,1.545,1.545,28.35,NAN,
10.8,2.865,2.015,2.015,28.65,NAN,
10.9,2.88,2.56,2.56,28.8,NAN,
11,2.91,2.93,2.93,29.1,NAN,
11.1,2.925,3.21,3.21,29.25,NAN,
11.2,2.955,3.295,3.295,29.55,NAN,
11.3,2.97,3.18,3.18,29.7,NAN,
11.4,3,2.775,2.775,30,NAN,
11.5,3.03,2.45,2.45,30.3,NAN,
11.6,3.06,1.82,1.82,30.6,NAN,
11.7,3.09,1.42,1.42,30.9,NAN,
11.8,3.105,1.095,1.095,31.05,NAN,
11.9,3.135,0.835,0.835,31.35,NAN,
12,3.15,0.785,0.785,31.5,NAN,
12.1,3.165,0.705,0.705,31.65,NAN,
12.2,3.165,0.605,0.605,31.65,NAN,
12.3,3.18,0.575,0.575,31.8,NAN,
12.4,3.18,0.575,0.575,31.8,NAN,
12.5,3.18,0.575,0.575,31.8,NAN,
12.6,3.18,0.565,0.565,31.8,NAN,
12.7,3.18,0.56,0.56,31.8,NAN,
12.8,3.18,0.555,0.555,31.8,NAN,
12.9,3.18,0.56,0.56,31.8,NAN,
13,3.18,0.55,0.55,31.8,NAN,
13.1,3.18,0.545,0.545,31.8,NAN,
13.2,3.18,0.6,0.6,31.8,NAN,
13.3,3.18,0.595,0.595,31.8,NAN,
13.4,3.18,0.54,0.54,31.8,NAN,
13.5,3.18,0.535,0.535,31.8,NAN,
13.6,3.18,0.515,0.515,31.8,NAN,
13.7,3.18,0.525,0.525,31.8,NAN,
13.8,3.18,0.52,0.52,31.8,NAN,
13.9,3.18,0.515,0.515,31.8,NAN,
14,3.18,0.51,0.51,31.8,NAN,
14.1,3.18,0.51,0.51,31.8,NAN,
14.2,3.18,0.515,0.515,31.8,NAN,
14.3,3.18,0.56,0.56,31.8,NAN,
14.4,3.18,0.555,0.555,31.8,NAN,
14.5,3.18,0.555,0.555,31.8,NAN,
14.6,3.18,0.515,0.515,31.8,NAN,
14.7,3.18,0.51,0.51,31.8,NAN,
14.8,3.18,0.51,0.51,31.8,NAN,
14.9,3.18,0.485,0.485,31.8,NAN,
15,3.18,0.495,0.495,31.8,NAN,
